iter	Passed	Remaining
0	122	24369
1	130	12923
2	137	9045
3	145	7111
4	153	5979
5	161	5215
6	168	4644
7	176	4234
8	183	3886
9	191	3634
10	198	3413
11	207	3249
12	215	3093
13	222	2959
14	229	2826
15	235	2713
16	242	2610
17	249	2521
18	256	2441
19	263	2373
20	271	2310
21	277	2244
22	283	2184
23	290	2129
24	296	2077
25	302	2027
26	309	1983
27	315	1940
28	322	1901
29	328	1863
30	335	1830
31	343	1802
32	349	1770
33	355	1736
34	362	1706
35	368	1679
36	375	1654
37	382	1628
38	390	1611
39	396	1587
40	402	1561
41	409	1538
42	415	1517
43	421	1494
44	427	1473
45	434	1453
46	440	1434
47	447	1417
48	453	1397
49	460	1382
50	467	1365
51	474	1349
52	481	1334
53	487	1317
54	494	1303
55	501	1288
56	507	1272
57	513	1258
58	521	1246
59	528	1234
60	534	1218
61	540	1203
62	546	1188
63	552	1174
64	559	1162
65	565	1148
66	572	1135
67	578	1122
68	583	1108
69	589	1095
70	596	1083
71	601	1069
72	609	1059
73	614	1046
74	620	1034
75	626	1022
76	632	1010
77	640	1001
78	646	990
79	652	979
80	658	968
81	664	956
82	671	945
83	676	934
84	682	923
85	689	913
86	695	903
87	701	892
88	708	883
89	714	872
90	720	862
91	725	851
92	731	841
93	737	832
94	743	821
95	749	812
96	756	802
97	762	793
98	768	783
99	773	773
100	779	764
101	786	755
102	792	745
103	798	737
104	804	728
105	810	718
106	817	710
107	823	701
108	829	692
109	835	683
110	841	674
111	848	666
112	854	657
113	860	648
114	866	640
115	872	631
116	878	623
117	884	614
118	890	606
119	896	597
120	903	589
121	909	581
122	915	573
123	921	564
124	927	556
125	933	547
126	939	539
127	946	532
128	952	524
129	958	516
130	965	508
131	971	500
132	977	492
133	983	484
134	989	476
135	996	468
136	1001	460
137	1008	453
138	1014	445
139	1020	437
140	1027	429
141	1033	422
142	1040	414
143	1046	407
144	1053	399
145	1059	392
146	1066	384
147	1072	376
148	1078	369
149	1084	361
150	1091	354
151	1097	346
152	1104	339
153	1110	331
154	1116	324
155	1123	316
156	1130	309
157	1137	302
158	1144	295
159	1151	287
160	1157	280
161	1164	273
162	1171	265
163	1178	258
164	1185	251
165	1192	244
166	1199	236
167	1206	229
168	1212	222
169	1218	215
170	1225	207
171	1232	200
172	1238	193
173	1250	186
174	1259	179
175	1269	173
176	1279	166
177	1289	159
178	1297	152
179	1306	145
180	1313	137
181	1320	130
182	1326	123
183	1336	116
184	1343	108
185	1350	101
186	1356	94
187	1362	86
188	1368	79
189	1374	72
190	1381	65
191	1387	57
192	1393	50
193	1399	43
194	1405	36
195	1411	28
196	1417	21
197	1423	14
198	1429	7
199	1435	0
